Mating;antennae;body;treatment;replica
M;1,067783;7,548367;high;1
M;1,345986;11,46905;high;1
M;1,380812;12,69351;high;1
M;1,061702;8,227884;high;1
M;1,043247;8,057417;high;1
M;0,9798487;8,314922;high;1
M;0,9923545;9,443704;high;1
M;0,8446583;7,474524;high;1
M;1,005626;8,456986;high;1
M;0,9939073;7,453789;high;1
M;1,037319;8,893661;high;1
M;1,018119;8,896469;high;1
M;0,8786521;7,298335;high;1
M;0,9331083;7,749587;high;1
U;1,179724;8,252803;high;1
U;0,5668051;6,978238;high;1
U;0,8446589;7,777664;high;1
U;0,9659038;7,578329;high;1
U;0,8544576;7,966174;high;1
U;1,088375;8,496268;high;1
U;0,4947772;7,253417;high;1
U;0,2002036;6,715025;high;1
U;0,4966438;8,119475;high;1
U;0,6555884;8,070265;high;1
U;0,333159;7,39315;high;1
U;1,232886;8,737995;high;1
U;1,077269;8,507583;high;1
U;0,9585346;10,50914;high;1
U;1,177632;9,376865;high;1
U;0,6723054;8,119019;high;1
U;1,380811;11,49515;high;1
U;0,7115186;6,786864;high;1
U;0,6782416;7,777386;high;1
U;0,4221466;7,457304;high;1
U;0,8573392;8,705757;high;1
U;0,8974012;7,048707;high;1
U;0,7934644;8,745789;high;1
U;1,134697;7,796037;high;1
U;0,7062998;8,591536;high;1
U;0,7733938;7,947614;high;1
U;0,7110854;6,630376;high;1
U;0,5716791;6,941735;high;1
U;0,6330982;7,593814;high;1
U;1,222843;8,781464;high;1
U;1,7208505;15,85956;high;2
U;1,807682;14,70726;high;2
U;1,2843885;11,03916;high;2
U;1,510914;11,66054;high;2
U;1,4552315;13,58739;high;2
U;1,6206605;14,27265;high;2
U;1,7264945;14,607;high;2
U;1,56436;14,62636;high;2
U;1,593623;13,88172;high;2
U;1,534022;13,70603;high;2
U;1,2914995;12,04713;high;2
U;1,316733;12,94639;high;2
U;1,5630305;12,46291;high;2
U;1,5863445;14,47412;high;2
U;1,92322;15,31028;high;2
U;1,228225;14,51311;high;2
U;1,364193;11,75938;high;2
U;1,2925695;12,74829;high;2
U;1,7024785;15,78441;high;2
U;1,714002;12,79932;high;2
U;1,441606;16,19803;high;2
U;1,767853;12,27715;high;2
U;1,461311;15,12884;high;2
U;1,738268;14,56657;high;2
U;2,416955;14,72304;high;2
U;1,39316;13,90034;high;2
U;1,825149;14,79893;high;2
U;1,5143365;14,47869;high;2
U;2,012024;16,86323;high;2
U;1,4422545;13,93418;high;2
U;1,855475;15,09769;high;2
U;1,721491;12,95276;high;2
U;2,274553;13,88426;high;2
U;1,6042185;13,43806;high;2
U;1,849088;16,59442;high;2
U;1,5783235;13,53237;high;2
U;1,314777;12,07169;high;2
U;1,4583915;12,55622;high;2
M;1,108645;13,32654;high;2
M;1,5764865;14,50569;high;2
M;1,7018855;14,41271;high;2
M;1,644862;15,16734;high;2
M;1,670386;15,74778;high;2
M;1,8815345;12,2458;high;2
M;1,29687;11,47906;high;2
M;1,3066355;12,28312;high;2
M;1,3365725;12,10469;high;2
M;1,425378;11,59799;high;2
M;1,530004;13,84547;high;2
M;1,096919;11,34031;high;2
M;1,2;8;low;1
M;1;10;low;1
M;1,3;20;low;1
M;1,7;12;low;1
M;1,8;14;low;1
M;1;20;low;1
M;1,2;10;low;1
M;1,6;13;low;1
M;0,9;13;low;1
M;NA;13;low;1
M;0,6;14;low;1
M;1,5;11;low;1
M;1,5;13;low;1
M;1,4;12;low;1
M;2;14;low;1
M;1,7;20;low;1
M;2;15;low;1
M;1,8;12,5;low;1
M;NA;NA;low;1
U;1,4;9,5;low;1
U;1,4;10;low;1
U;1,5;11;low;1
U;1,4;13;low;1
U;1,8;14;low;1
U;1,5;12;low;1
U;1,1;10;low;1
U;1,7;14,5;low;1
U;1,9;13;low;1
U;1,3;12;low;1
U;1,1;19;low;1
U;1,6;10;low;1
U;1,2;11;low;1
U;1,5;11;low;1
U;0,5;11;low;1
U;0,8;8,5;low;1
U;2;15;low;1
U;1,4;16;low;1
U;1,9;11,5;low;1
U;1,4;11,5;low;1
U;1;10;low;1
U;1;11,5;low;1
U;1,6;13;low;1
U;1,2;10;low;1
U;1,2;11;low;1
U;1,25;11;low;1
U;1,25;10;low;1
U;1,45;12;low;1
U;1,5;14;low;1
U;NA;NA;low;1
U;NA;NA;low;1
M;1,5308325;12,80634;low;2
M;1,0793356;10,1438;low;2
M;1,403513;13,41967;low;2
M;0,8939553;13,6786;low;2
M;1,4633425;14,41956;low;2
M;0,8378443;9,795024;low;2
M;1,441573;13,28786;low;2
M;1,211917;9,238911;low;2
M;1,4084605;13,14129;low;2
M;1,32813;11,40791;low;2
M;1,0092459;14,18181;low;2
M;1,346338;12,29461;low;2
M;1,78952;15,6935;low;2
M;1,4801525;12,9451;low;2
M;1,906552;12,13608;low;2
M;1,508385;13,95871;low;2
M;0,9485994;10,97655;low;2
M;1,4066355;10,99817;low;2
M;1,4998965;13,74292;low;2
M;1,439802;12,14497;low;2
M;1,339203;12,49362;low;2
M;1,583753;14,43123;low;2
U;1,298376;9,551539;low;2
U;0,9664708;9,061462;low;2
U;0,9964354;11,75377;low;2
U;0,9410494;10,86711;low;2
U;1,1742135;11,74826;low;2
U;1,2976345;13,26461;low;2
U;1,2600935;12,67343;low;2
U;1,230204;9,938515;low;2
U;1,21828;10,43279;low;2
U;1,419133;15,00752;low;2
U;0,8992743;12,86197;low;2
U;1,0271911;12,10963;low;2
U;1,0377099;12,70669;low;2
U;1,416496;12,87799;low;2
U;1,3942515;12,15713;low;2
U;1,202751;9,448926;low;2
U;1,112839;10,06077;low;2
U;1,03419;11,49582;low;2
U;1,0864856;10,59483;low;2
U;1,1679445;10,7926;low;2
U;1,0186543;8,515809;low;2
U;1,307204;9,810527;low;2
U;1,0489895;10,39606;low;2
U;0,8438349;8,807095;low;2
U;1,334916;12,79676;low;2
U;0,9110679;11,20527;low;2
U;1,632653;12,79085;low;2
U;1,0835765;10,26778;low;2
U;0,7547496;10,77623;low;2
U;0,9923393;10,63432;low;2